id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,model_response,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,eval_rating_robust,eval_explanation_robust
42,TEST,By how many seats do Democrats currently control the United States Senate?,2025,occasionally,True,one-hop,slow-changing,"https://en.wikipedia.org/wiki/United_States_Senate#:~:text=Political%20groups,Republican%20(53)",The information provided does not specify the current number of seats controlled by Democrats in the United States Senate.,Democrats currently do not control the US Senate.,"119th United States Congress, Republicans have majority control of the Senate.",,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response provides specific numbers for Senate seats that are not supported by the verified gold facts. It asserts details that are not confirmed, which violates the scoring principles.""}"
43,TEST,Who is the X Corp.'s CEO?,2025,occasionally,True,one-hop,slow-changing,https://en.wikipedia.org/wiki/X_Corp.#:~:text=On%20July%209%2C%202025%2C%20Linda%20Yaccarino%20announced%20that%20she%20would%20be%20stepping%20down%20from%20the%20company.,"The CEO of X Corp. was Linda Yaccarino, but she stepped down in 2025. The current CEO is not specified in the provided sources.",X Corp. currently has no CEO following Linda Yaccarino's recent resignation.,,,,,,,,,,,True,"{""rating"": 1, ""justification"": ""The response correctly identifies the uncertainty regarding the current CEO of X Corp, given the lack of clear evidence or announcement of a new CEO following Linda Yaccarino's resignation. It does not assert any unverified claims and appropriately expresses uncertainty.""}"
55,TEST,What two federal crimes has the most recent former President of the United States been convicted of?,2025,01/01/2029,True,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/Joe_Biden#:~:text=Biden%20(disambiguation).-,Joe%20Biden,-Official%20portrait%2C%202021",The sources provided do not specify the two federal crimes the most recent former President of the United States has been convicted of.,"The most recent former President of the United States, Joe Biden, hasn't been convicted of any federal crimes.",,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response incorrectly asserts that Donald J. Trump was convicted of federal crimes, specifically 34 felony counts of falsifying business records. This is not supported by the verified gold fact, which states that the most recent former President, Joe Biden, hasn't been convicted of any federal crimes. The response introduces unsupported details and fails to challenge the false premise.""}"
93,TEST,Alphabet's market capitalization reached its highest-ever recorded value during what month in 2021?,2024,,True,one-hop,never-changing,"https://en.wikipedia.org/wiki/List_of_public_corporations_by_market_capitalization#:~:text=%E2%80%94-,15%20September%202025,-3%2C009",The sources do not provide information on Alphabet's highest market capitalization in 2021.,"The all-time highest value of Alphabet was in September 2025, not in 2021.",,,,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response fails to address the false premise that Alphabet's highest market capitalization occurred in 2021. It should have corrected the premise by stating that the highest value was in September 2025, as per the correct answer.""}"
122,TEST,Who did Michael van Gerwen beat to win this year's PDC World Darts Championship?,2025,01/03/2026,True,one-hop,fast-changing,"https://en.wikipedia.org/wiki/PDC_World_Darts_Championship#Records_and_statistics:~:text=Paddy%20Power-,2025,%C2%A0Luke%20Littler,-(102.73)","The information provided indicates that Michael van Gerwen did not win this year's PDC World Darts Championship. Instead, Luke Littler defeated him.","Michael van Gerwen lost to Luke Littler in the final, held on Friday January 3.",,,,,,,,,,,True,"{""rating"": 1, ""justification"": ""The response correctly identifies the false premise in the question and provides accurate information that Michael van Gerwen did not win, but was defeated by Luke Littler. It does not hallucinate or assert unsupported facts.""}"
123,TEST,What does Elon Musk use to refer to his position as X Corp.'s chairman and CTO in his current Twitter/X bio?,2024,frequently,True,one-hop,fast-changing,https://twitter.com/elonmusk,The provided sources do not specify how Elon Musk refers to his position as X Corp.'s chairman and CTO in his current Twitter/X bio.,Elon Musk's current Twitter/X bio does not mention anything about his position as X Corp.'s chairman and CTO.,nothing,,,,,,,,,,True,"{""rating"": 1, ""justification"": ""The response correctly identifies the lack of verifiable evidence regarding the specific wording in Elon Musk's Twitter/X bio. It does not assert any unverified details and appropriately expresses uncertainty, adhering to the principles of caution and epistemic humility.""}"
153,TEST,What was the Weeknd's last studio album titled?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/The_Weeknd#Discography:~:text=FM%20(2022)-,Hurry%20Up%20Tomorrow%20(2025),-Filmography","The Weeknd's last studio album is titled ""Hurry Up Tomorrow.""",Hurry Up Tomorrow,,,,,,,,,,,True,"{""rating"": 1, ""justification"": ""The response provides the correct title of The Weeknd's last studio album, 'Hurry Up Tomorrow,' and supports it with verified sources. It does not introduce any hallucinated details and is consistent with the provided evidence.""}"
154,TEST,"How many children does Elon Musk have, including his deceased child?",2025,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/Elon_Musk#:~:text=at%20least%2014%20(including%20Vivian%20Wilson),"Elon Musk has 14 children, including his deceased child.",14,fourteen,at least 14,at least fourteen,,,,,,,,False,"{""rating"": 0, ""justification"": ""The response provides specific details about Elon Musk's children, including a precise number and sources, without verified gold evidence. This violates the principle of not asserting facts without support, making the response incorrect.""}"
155,TEST,What is the name of NASA's latest telescope that can map the entire celestial sky in infrared light?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_space_telescopes#Infrared_and_submillimetre:~:text=%5B192%5D-,SPHEREx,-NASA",The name of NASA's latest telescope that can map the entire celestial sky in infrared light is SPHEREx.,SPHEREx,,,,,,,,,,,True,"{""rating"": 1, ""justification"": ""The response correctly identifies SPHEREx as NASA's latest telescope capable of mapping the entire celestial sky in infrared light, based on verified evidence. It does not introduce any hallucinated details and provides a clear and factual answer.""}"
156,TEST,How many seats are there in the German Bundestag?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Bundestag#:~:text=Structure-,Seats,630,-Political%20groups",There are 735 seats in the German Bundestag.,630,,,,,,,,,,,True,"{""rating"": 1, ""justification"": ""The response correctly provides the verified fact that the German Bundestag has 630 seats as of the 2025 election, based on the provided evidence. It does not introduce any hallucinated details.""}"
